CPU,Time,N0 free,N2 free,N4 free,N6 free,Copy: Best,Copy: Avg,Copy: Min,Copy: Max,Scale: Best,Scale: Avg,Scale: Min,Scale: Max,Add: Best,Add: Avg,Add: Min,Add: Max,Triad: Best,Triad: Avg,Triad: Min,Triad: Max
9,1476130507.0009124,3249,1693,1751,7225,4645.2,0.096531,0.086111,0.102628,4948.5,0.091871,0.080833,0.096050,5177.7,0.126836,0.115881,0.133311,5048.8,0.124890,0.118840,0.128691
14,1476130514.3520083,3254,1696,1750,7224,2968.7,0.135888,0.134737,0.138013,2968.3,0.136082,0.134758,0.139191,3013.5,0.200727,0.199107,0.202981,3014.3,0.200199,0.199048,0.202802
33,1476130520.5611649,3252,1699,1750,7224,3612.7,0.115308,0.110720,0.136983,3604.1,0.116396,0.110984,0.130980,3850.6,0.161917,0.155821,0.192830,3850.6,0.159694,0.155818,0.183053
46,1476130526.9749959,3251,1699,1745,7225,3494.2,0.118572,0.114474,0.126083,3511.1,0.119084,0.113925,0.122074,3761.5,0.168638,0.159510,0.177100,3771.8,0.168124,0.159074,0.179080
10,1476130806.3811965,3603,1697,1754,7228,4651.1,0.093320,0.086001,0.096810,4957.2,0.090382,0.080690,0.093522,5209.1,0.124800,0.115182,0.128369,5242.1,0.123963,0.114457,0.127879
21,1476130817.0270712,3608,1699,1755,7227,2042.5,0.196143,0.195837,0.196643,2044.0,0.195919,0.195692,0.196442,2036.0,0.294983,0.294694,0.295366,2035.2,0.295009,0.294817,0.295311
35,1476130823.0418105,3604,1700,1756,7228,3600.2,0.111659,0.111105,0.114040,3607.6,0.111227,0.110877,0.113119,3874.2,0.155291,0.154869,0.157384,3876.3,0.155238,0.154788,0.157474
36,1476130829.0214744,3604,1700,1756,7228,3737.5,0.110058,0.107022,0.110789,3757.7,0.109953,0.106449,0.110859,3978.2,0.154502,0.150824,0.155843,3995.8,0.153799,0.150157,0.155211
1,1476131225.2412999,3844,1698,1759,7230,5804.8,0.074514,0.068909,0.078599,5811.1,0.073464,0.068834,0.077498,6549.4,0.098769,0.091612,0.104697,6546.1,0.099002,0.091658,0.103230
19,1476131235.8631113,3843,1698,1759,7229,2046.0,0.195731,0.195508,0.195919,2047.8,0.195450,0.195332,0.195602,2039.3,0.294303,0.294224,0.294499,2040.1,0.294280,0.294105,0.294491
28,1476131241.204701,3843,1698,1759,7229,4121.0,0.098173,0.097063,0.105559,4150.7,0.097669,0.096370,0.106900,4371.1,0.138860,0.137265,0.151114,4375.9,0.138845,0.137115,0.151081
38,1476131246.9557257,3842,1698,1759,7229,3923.8,0.108318,0.101941,0.110402,3958.1,0.107793,0.101058,0.110664,4182.0,0.151570,0.143472,0.155152,4195.0,0.151024,0.143027,0.154609
9,1476131409.6927743,3242,1686,1748,7221,2803.1,0.153625,0.142701,0.157598,3030.8,0.151364,0.131977,0.156183,3511.5,0.194314,0.170867,0.200206,3242.6,0.194867,0.185038,0.199863
20,1476131420.7406194,3251,1686,1753,7220,1983.3,0.202686,0.201689,0.203127,1963.6,0.204423,0.203711,0.205849,1996.1,0.301469,0.300587,0.301719,1992.4,0.301645,0.301140,0.301851
35,1476131429.2636666,3252,1686,1755,7221,2500.6,0.163016,0.159965,0.164645,2706.0,0.165920,0.147818,0.169836,2818.1,0.221138,0.212909,0.224929,2844.5,0.220438,0.210930,0.224038
41,1476131437.3560674,3823,1686,1755,7222,2591.6,0.156851,0.154346,0.161036,2665.1,0.159774,0.150087,0.172475,3353.5,0.208874,0.178918,0.220963,3041.3,0.209393,0.197287,0.215002
11,1476131587.9455276,3248,1689,1752,7227,3040.7,0.132381,0.131547,0.133516,3047.3,0.132392,0.131262,0.133585,3562.0,0.170549,0.168446,0.175232,3577.3,0.169847,0.167723,0.177611
21,1476131598.7560995,3245,1689,1753,7227,2019.9,0.198273,0.198030,0.198855,2003.4,0.200014,0.199665,0.200330,2030.9,0.296433,0.295433,0.296786,2024.7,0.296901,0.296347,0.298160
35,1476131606.3169394,3243,1690,1754,7226,3039.4,0.143528,0.131604,0.146001,2738.0,0.147105,0.146092,0.148033,3102.2,0.194220,0.193414,0.196061,3161.7,0.193812,0.189770,0.195438
45,1476131616.4910946,3243,1690,1754,7226,2155.3,0.186325,0.185592,0.187119,2098.0,0.191550,0.190659,0.193236,2201.3,0.273150,0.272572,0.273977,2206.7,0.272524,0.271901,0.273302
4,1476131768.4411318,3232,1705,1751,7227,2934.7,0.138216,0.136301,0.139940,2933.8,0.137913,0.136340,0.138597,3419.3,0.177939,0.175476,0.179084,3426.0,0.177590,0.175130,0.179030
13,1476131776.995076,3782,1705,1749,7227,2643.6,0.156708,0.151310,0.158909,2701.6,0.160288,0.148061,0.162746,2747.6,0.220201,0.218369,0.222480,2739.5,0.219948,0.219017,0.220924
34,1476131785.588416,3212,1704,1750,7228,2493.1,0.163522,0.160443,0.165121,2490.3,0.167552,0.160625,0.171438,2751.6,0.222014,0.218055,0.227061,3070.6,0.218708,0.195404,0.224041
46,1476131794.1785903,3208,1703,1750,7227,3011.9,0.160614,0.132806,0.165173,2647.2,0.166864,0.151104,0.170168,2712.4,0.223162,0.221206,0.226891,2792.7,0.221227,0.214843,0.224753
5,1476132005.6834404,3808,1700,1753,7220,5520.1,0.077418,0.072462,0.081063,5570.2,0.076545,0.071811,0.080878,6213.8,0.102305,0.096559,0.105632,6303.7,0.102713,0.095182,0.105372
23,1476132016.4855554,3815,1703,1753,7219,2044.1,0.195866,0.195689,0.196130,2045.7,0.195635,0.195534,0.195855,2037.4,0.294582,0.294491,0.294738,2037.8,0.294592,0.294432,0.294765
26,1476132022.1705353,3808,1704,1754,7221,3949.1,0.107046,0.101288,0.108540,4051.4,0.106684,0.098731,0.108594,4259.8,0.150309,0.140851,0.155438,4274.4,0.149596,0.140370,0.154986
45,1476132028.3436747,3806,1704,1754,7221,3510.3,0.114099,0.113949,0.114450,3521.6,0.113826,0.113585,0.114413,3791.8,0.158721,0.158235,0.159304,3792.6,0.158552,0.158204,0.159000
0,1476132308.7391887,3246,1702,1746,7210,3376.6,0.120196,0.118464,0.122334,3399.7,0.119866,0.117657,0.122301,3842.3,0.157910,0.156156,0.160331,3862.1,0.157589,0.155356,0.162061
